plotID,collectDate,nitrogenPercent,cnSampleID,organicCPercent,soil_cn
SRER_001,2016-07-21,0.09,SRER_001-M-37.5-10.5-20160721-CN,0.77,8.555555555555555
SRER_001,2016-07-21,0.09,SRER_001-M-37.5-10.5-20160721-CN,1.12,12.444444444444446
SRER_001,2016-07-21,0.09,SRER_001-M-37.5-10.5-20160721-CN,0.77,8.555555555555555
SRER_001,2016-07-21,0.09,SRER_001-M-12-0.5-20160721-CN,0.79,8.777777777777779
SRER_047,2016-07-21,0.05,SRER_047-M-15-3.5-20160721-CN,0.88,17.599999999999998
SRER_047,2016-07-21,0.04,SRER_047-M-38.5-12-20160721-CN,0.53,13.25
SRER_047,2016-07-21,0.04,SRER_047-M-29.5-38.5-20160721-CN,0.39,9.75
SRER_047,2016-07-21,0.04,SRER_047-M-29.5-38.5-20160721-CN,0.23,5.75
SRER_047,2016-07-21,0.04,SRER_047-M-29.5-38.5-20160721-CN,0.39,9.75
SRER_047,2016-07-21,0.04,SRER_047-M-29.5-38.5-20160721-CN,0.23,5.75
SRER_002,2016-07-21,0.03,SRER_002-M-12-6.5-20160721-CN,0.37,12.333333333333334
SRER_002,2016-07-21,0.03,SRER_002-M-25.5-0-20160721-CN,0.22,7.333333333333334
SRER_002,2016-07-21,0.04,SRER_002-M-9.5-25-20160721-CN,0.28,7.000000000000001
SRER_004,2016-07-22,0.09,SRER_004-M-1.5-26.5-20160721-CN,0.61,6.777777777777778
SRER_004,2016-07-22,0.09,SRER_004-M-33-9-20160721-CN,0.44,4.888888888888889
SRER_004,2016-07-22,0.07,SRER_004-M-14.5-5-20160721-CN,0.35,4.999999999999999
ONAQ_004,2014-08-11,0.09,ONAQ_004-M-4-9-20140811-CN,0.78,8.666666666666668
ONAQ_010,2014-08-11,0.15,ONAQ_010-M-23-8-20140811-CN,2.81,18.733333333333334
ONAQ_007,2014-08-11,0.12,ONAQ_007-M-36-16-20140811-CN,2.01,16.75
ONAQ_002,2014-08-11,0.07,ONAQ_002-M-30-37-20140811-CN,1.34,19.142857142857142
ONAQ_008,2014-08-12,0.19,ONAQ_008-M-0-30-20140812-CN,4.68,24.631578947368418
ONAQ_009,2014-08-12,0.1,ONAQ_009-M-33-4-20140812-CN,1.95,19.5
