plotID,collectDate,horizonName,variable,value
MOAB_011,2016-04-16,Bw,mnOxalate,143.7
MOAB_011,2016-04-16,Bw,pOxalate,30.6
MOAB_011,2016-04-16,Bw,siOxalate,0.01
MOAB_011,2016-04-16,Bw,optDensityOxalate,0.01
MOAB_011,2016-04-16,Bw,alCitDithionate,0
MOAB_011,2016-04-16,Bw,feCitDithionate,0.4
MOAB_011,2016-04-16,Bw,mnCitDithionate,0
MOAB_011,2016-04-16,Bw,siliconCitrateDithionate,NA
MOAB_011,2016-04-16,Bw,acidity,NA
MOAB_011,2016-04-16,Bw,waterRetention15Bar,NA
MOAB_011,2016-04-16,Bw,MehlichIIITotP,NA
MOAB_011,2016-04-16,Bw,Bray1PExtractable,NA
MOAB_011,2016-04-16,Bw,OlsenPExtractable,1
MOAB_011,2016-04-16,Bkk,biogeoTopDepth,49
MOAB_011,2016-04-16,Bkk,biogeoBottomDepth,68
MOAB_011,2016-04-16,Bkk,biogeoCenterDepth,58.5
MOAB_011,2016-04-16,Bkk,airDryOvenDryRatio,1.011
MOAB_011,2016-04-16,Bkk,gypsumConc,NA
MOAB_011,2016-04-16,Bkk,caco3Conc,480
MOAB_011,2016-04-16,Bkk,caNh4d,51.8
MOAB_011,2016-04-16,Bkk,kNh4d,0
MOAB_011,2016-04-16,Bkk,mgNh4d,2
MOAB_011,2016-04-16,Bkk,naNh4d,0
MOAB_011,2016-04-16,Bkk,cecdNh4,3.5
MOAB_011,2016-04-16,Bkk,alSatCecd33,NA
MOAB_011,2016-04-16,Bkk,baseSumCecd10,53.8
MOAB_011,2016-04-16,Bkk,bsesatCecd10,100
MOAB_011,2016-04-16,Bkk,ececCecd33,NA
MOAB_011,2016-04-16,Bkk,alKcl,NA
MOAB_011,2016-04-16,Bkk,feKcl,NA
MOAB_011,2016-04-16,Bkk,mnKcl,NA
MOAB_011,2016-04-16,Bkk,phCacl2,7.8
MOAB_011,2016-04-16,Bkk,phH2o,8.5
MOAB_011,2016-04-16,Bkk,ec12pre,0.11
MOAB_011,2016-04-16,Bkk,bSatx,NA
MOAB_011,2016-04-16,Bkk,brSatx,NA
MOAB_011,2016-04-16,Bkk,caSatx,NA
MOAB_011,2016-04-16,Bkk,clSatx,NA
MOAB_011,2016-04-16,Bkk,co3Satx,NA
MOAB_011,2016-04-16,Bkk,ecSatp,NA
MOAB_011,2016-04-16,Bkk,flSatx,NA
MOAB_011,2016-04-16,Bkk,waterSatx,NA
MOAB_011,2016-04-16,Bkk,hco3Sx,NA
MOAB_011,2016-04-16,Bkk,kSatx,NA
MOAB_011,2016-04-16,Bkk,mgSatx,NA
MOAB_011,2016-04-16,Bkk,naSatx,NA
MOAB_011,2016-04-16,Bkk,no2Satx,NA
MOAB_011,2016-04-16,Bkk,no3Satx,NA
MOAB_011,2016-04-16,Bkk,pSatx,NA
MOAB_011,2016-04-16,Bkk,phSp,NA
MOAB_011,2016-04-16,Bkk,resist,NA
MOAB_011,2016-04-16,Bkk,so4Satx,NA
MOAB_011,2016-04-16,Bkk,carbonTot,58.8
MOAB_011,2016-04-16,Bkk,nitrogenTot,0.5
MOAB_011,2016-04-16,Bkk,ctonRatio,3
MOAB_011,2016-04-16,Bkk,estimatedOC,1
MOAB_011,2016-04-16,Bkk,sulfurTot,0.2
MOAB_011,2016-04-16,Bkk,alOxalate,0.01
MOAB_011,2016-04-16,Bkk,feOxalate,0
MOAB_011,2016-04-16,Bkk,mnOxalate,13
MOAB_011,2016-04-16,Bkk,pOxalate,0
MOAB_011,2016-04-16,Bkk,siOxalate,0
MOAB_011,2016-04-16,Bkk,optDensityOxalate,0.01
MOAB_011,2016-04-16,Bkk,alCitDithionate,0
MOAB_011,2016-04-16,Bkk,feCitDithionate,0.1
MOAB_011,2016-04-16,Bkk,mnCitDithionate,0
MOAB_011,2016-04-16,Bkk,siliconCitrateDithionate,NA
MOAB_011,2016-04-16,Bkk,acidity,NA
MOAB_011,2016-04-16,Bkk,waterRetention15Bar,NA
MOAB_011,2016-04-16,Bkk,MehlichIIITotP,NA
MOAB_011,2016-04-16,Bkk,Bray1PExtractable,NA
MOAB_011,2016-04-16,Bkk,OlsenPExtractable,2.4
MOAB_006,2016-04-26,Bk,biogeoTopDepth,76
MOAB_006,2016-04-26,Bk,biogeoBottomDepth,96
MOAB_006,2016-04-26,Bk,biogeoCenterDepth,86
MOAB_006,2016-04-26,Bk,airDryOvenDryRatio,1.006
MOAB_006,2016-04-26,Bk,gypsumConc,NA
MOAB_006,2016-04-26,Bk,caco3Conc,280
MOAB_006,2016-04-26,Bk,caNh4d,47
MOAB_006,2016-04-26,Bk,kNh4d,0
MOAB_006,2016-04-26,Bk,mgNh4d,5.4
MOAB_006,2016-04-26,Bk,naNh4d,0
MOAB_006,2016-04-26,Bk,cecdNh4,1.5
MOAB_006,2016-04-26,Bk,alSatCecd33,NA
MOAB_006,2016-04-26,Bk,baseSumCecd10,52.4
MOAB_006,2016-04-26,Bk,bsesatCecd10,100
MOAB_006,2016-04-26,Bk,ececCecd33,NA
MOAB_006,2016-04-26,Bk,alKcl,NA
MOAB_006,2016-04-26,Bk,feKcl,NA
MOAB_006,2016-04-26,Bk,mnKcl,NA
MOAB_006,2016-04-26,Bk,phCacl2,8
MOAB_006,2016-04-26,Bk,phH2o,8.9
MOAB_006,2016-04-26,Bk,ec12pre,0.11
