plotID,subplotID,year,nspp_native,nspp_exotic,nspp_unk,shannon_native,shannon_exotic,shannon_unk,cover_native,cover_exotic,cover_unk,rel_cover_native,rel_cover_exotic,rel_cover_unk,shannon_total,nspp_total,rc_Poaceae,rc_exotic_Poaceae,cover_exotic_Poaceae,cover_Poaceae,rc_native_Poaceae,rc_Bromus_tectorum,cover_Bromus_tectorum,site
JORN_002,32,2017,18,1,1,2.0533445108403545,0,0,0,0.5,0.5,0,0,0,2.1747115784661437,19,0,0,0,4,0,0,0,JORN
JORN_002,32,2018,11,0,0,1.8891591637540215,0,0,9,0,0,1,0,0,1.8891591637540215,10,0.3333333333333333,0,0,3,0.3333333333333333,0,0,JORN
JORN_002,32,2019,4,0,0,1.0986122886681096,0,0,1.5,0,0,1,0,0,1.0986122886681096,3,0.3333333333333333,0,0,0.5,0.3333333333333333,0,0,JORN
JORN_002,40,2015,15,0,1,2.5066618124970015,0,0,9.5,0,0.5,0.95,0,0.05,2.5798439652180236,15,0.15,0,0,1.5,0.15,0,0,JORN
JORN_002,40,2016,13,1,0,2.1858893592192605,0,0,11.5,0.5,0,0.9583333333333334,0.041666666666666664,0,2.268015842667635,13,0.2916666666666667,0,0,3.5,0.2916666666666667,0,0,JORN
JORN_002,40,2017,21,1,1,2.9650156932565075,0,0,11,0.5,0.5,0.9166666666666666,0.041666666666666664,0.041666666666666664,3.0625293002546212,22,0.3333333333333333,0,0,4,0.3333333333333333,0,0,JORN
JORN_002,40,2018,11,0,0,2.2718685126965625,0,0,5.5,0,0,1,0,0,2.2718685126965625,10,0.45454545454545453,0,0,2.5,0.45454545454545453,0,0,JORN
JORN_002,40,2019,6,0,0,1.6094379124341005,0,0,2.5,0,0,1,0,0,1.6094379124341005,5,0,0,0,0,0,0,0,JORN
JORN_002,41,2015,10,0,0,1.9273921261392741,0,0,8,0,0,1,0,0,1.9273921261392741,9,0.4375,0,0,3.5,0.4375,0,0,JORN
JORN_002,41,2016,15,1,0,2.160881109887098,0,0,12,0.5,0,0.96,0.04,0,2.2423900132257866,15,0.16,0,0,2,0.16,0,0,JORN
JORN_002,41,2017,18,1,1,2.3724868868699263,0,0,0,0.5,0.5,0,0,0,2.5098526912487586,19,0,0,0,0,0,0,0,JORN
JORN_002,41,2018,12,0,0,2.3693821196946763,0,0,6,0,0,1,0,0,2.3693821196946763,11,0.5833333333333334,0,0,3.5,0.5833333333333334,0,0,JORN
JORN_002,41,2019,4,0,0,1.0986122886681096,0,0,1.5,0,0,1,0,0,1.0986122886681096,3,0,0,0,0,0,0,0,JORN
JORN_003,31,2015,20,0,1,2.5095368522843473,0,0,20.5,0,0.5,0.9761904761904762,0,0.023809523809523808,2.562301908968645,20,0.30952380952380953,0,0,6.5,0.30952380952380953,0,0,JORN
JORN_003,31,2016,20,1,0,2.1568546561496227,0,0,38,0.5,0,0.987012987012987,0.012987012987012988,0,2.1981589284200496,20,0.45454545454545453,0,0,17.5,0.45454545454545453,0,0,JORN
JORN_003,31,2017,31,1,1,2.584885462470561,0,0,36.5,0.5,0.5,0.9733333333333334,0.013333333333333334,0.013333333333333334,2.657396107623222,32,0.25333333333333335,0,0,9.5,0.25333333333333335,0,0,JORN
JORN_003,31,2018,10,0,1,1.5585617635055233,0,0,10.5,0,0.5,0.9545454545454546,0,0.045454545454545456,1.6726254461503207,10,0.8181818181818182,0,0,9,0.7727272727272727,0,0,JORN
JORN_003,31,2019,8,0,0,1.9459101490553132,0,0,3.5,0,0,1,0,0,1.9459101490553132,7,0.2857142857142857,0,0,1,0.2857142857142857,0,0,JORN
JORN_003,32,2015,23,0,0,2.53897850687589,0,0,26,0,0,1,0,0,2.53897850687589,22,0.38461538461538464,0,0,10,0.38461538461538464,0,0,JORN
JORN_003,32,2016,25,1,0,2.493404570085557,0,0,45,0.5,0,0.989010989010989,0.01098901098901099,0,2.526502813967139,25,0.5604395604395604,0,0,25.5,0.5604395604395604,0,0,JORN
JORN_003,32,2017,34,1,0,3.022960102269506,0,0,29,0.5,0,0.9830508474576272,0.01694915254237288,0,3.0576389917012965,34,0.4915254237288136,0,0,14.5,0.4915254237288136,0,0,JORN
JORN_003,32,2018,14,0,1,1.6850674067591456,0,0,17.5,0,0.5,0.9722222222222222,0,0.027777777777777776,1.7651905241350159,14,0.8055555555555556,0,0,14.5,0.7777777777777778,0,0,JORN
JORN_003,32,2019,5,0,1,1.2730283365896256,0,0,4.5,0,0.5,0.9,0,0.1,1.4708084763221114,5,0.7,0,0,3.5,0.6,0,0,JORN
JORN_003,40,2015,16,0,0,1.2752668109330907,0,0,42.5,0,0,1,0,0,1.2752668109330907,15,0.8117647058823529,0,0,34.5,0.8117647058823529,0,0,JORN
JORN_003,40,2016,22,1,0,1.740244628254541,0,0,64,1,0,0.9846153846153847,0.015384615384615385,0,1.792958637176739,22,0.6384615384615384,0,0,41.5,0.6384615384615384,0,0,JORN
JORN_003,40,2017,29,1,0,2.0338014133004294,0,0,45,0.5,0,0.989010989010989,0.01098901098901099,0,2.071950241322507,29,0.7362637362637363,0,0,33.5,0.7362637362637363,0,0,JORN
JORN_003,40,2018,11,0,1,1.4708676439913508,0,0,16.5,0,0.5,0.9705882352941176,0,0.029411764705882353,1.5602982517726534,11,0.8529411764705882,0,0,14.5,0.8235294117647058,0,0,JORN
JORN_003,40,2019,7,0,1,1.315658070398555,0,0,8.5,0,0.5,0.9444444444444444,0,0.05555555555555555,1.457125110552818,7,0.6666666666666666,0,0,6,0.6111111111111112,0,0,JORN
