plotID,subplotID,year,endDate,nspp_native,nspp_exotic,nspp_unk,shannon_native,shannon_exotic,shannon_unk,cover_native,cover_exotic,cover_unk,rel_cover_native,rel_cover_exotic,rel_cover_unk,shannon_total,nspp_total,rc_Fabaceae,rc_Poaceae,rc_exotic_Poaceae,cover_exotic_Poaceae,cover_Fabaceae,cover_Poaceae,rc_native_Poaceae,site
JORN_007,plot,2018,2018-09-05,3,0,0,0.6890092384766586,0,0,NA,NA,NA,NA,NA,NA,0.6890092384766586,2,NA,NA,NA,NA,NA,NA,NA,JORN
JORN_007,plot,2019,2019-04-16,9,0,0,1.0666545452684717,0,0,4.5,0,0,1,0,0,1.0666545452684717,8,0.3055555555555556,0.027777777777777776,NA,NA,1.375,0.125,0.027777777777777776,JORN
JORN_008,plot,2014,2014-08-26,21,0,0,1.1056791779073882,0,0,11.479166666666666,0,0,1,0,0,1.1056791779073882,20,0.7985480943738656,0.08711433756805809,NA,NA,9.166666666666666,1,0.08711433756805809,JORN
JORN_008,plot,2016,2016-05-07,10,0,0,0.8442276770253923,0,0,NA,NA,NA,NA,NA,NA,0.8442276770253923,9,0.5135135135135135,0,NA,NA,5.145833333333333,0,NA,JORN
JORN_008,plot,2016,2016-09-10,17,1,1,2.326239348371932,0,0,9.708333333333334,0.1875,0.125,0.9688149688149689,0.01871101871101871,0.012474012474012473,2.472582300110982,18,0,0.11642411642411643,NA,NA,0,1.1666666666666667,0.10395010395010396,JORN
JORN_008,plot,2017,2017-04-19,7,0,0,0.42493894742590926,0,0,NA,NA,NA,NA,NA,NA,0.42493894742590926,6,0.5775553967119371,0,NA,NA,8.416666666666666,0,NA,JORN
JORN_008,plot,2017,2017-09-10,21,1,1,2.481569135568195,0,0,14.177083333333334,0.22916666666666666,0.16666666666666666,0.9728377412437456,0.015725518227305217,0.01143674052894925,2.6069281945684257,22,0,0.09578270192994996,NA,NA,0,1.3958333333333333,0.09578270192994996,JORN
JORN_008,plot,2018,2018-04-13,12,0,1,1.139210491712255,0,0,0,0,0.1875,0,0,0.03982300884955752,1.2706112481229688,12,0.6769911504424779,0.15486725663716813,NA,NA,3.1875,0.7291666666666666,0.11504424778761062,JORN
JORN_008,plot,2018,2018-09-06,5,0,0,1.250843122206787,0,0,4.520833333333333,0,0,0.9601769911504425,0,0,1.250843122206787,4,NA,NA,NA,NA,NA,NA,NA,JORN
JORN_008,plot,2019,2019-04-16,4,0,1,0.7088329479943613,0,0,1.375,0,0.0625,0.9565217391304348,0,0.043478260869565216,0.856859036885367,4,0.6956521739130435,0.043478260869565216,NA,NA,1,0.0625,NA,JORN
JORN_009,plot,2015,2015-08-18,22,0,1,1.6695454953275297,0,0,14.375,0,0.25,0.9829059829059829,0,0.017094017094017096,1.7275093436846984,22,0.04843304843304844,0.5384615384615384,NA,NA,0.7083333333333334,7.875,0.5384615384615384,JORN
JORN_009,plot,2016,2016-05-09,15,0,0,1.7267864130836073,0,0,14.510416666666666,0,0,0.990049751243781,0,0,1.7267864130836073,14,0,0.35394456289978676,NA,NA,0,5.1875,0.35394456289978676,JORN
JORN_009,plot,2016,2016-09-09,22,1,0,1.4800325666356176,0,0,0,0.14583333333333331,0,0,0.009950248756218904,0,1.535042773641294,22,0.08955223880597014,0,NA,NA,1.3125,0,NA,JORN
JORN_009,plot,2017,2017-04-22,15,0,0,2.0504913772060607,0,0,NA,NA,NA,NA,NA,NA,2.0504913772060607,14,0.07037643207855974,0,NA,NA,0.8958333333333334,0,NA,JORN
JORN_009,plot,2017,2017-09-09,20,3,1,1.718659138882988,0.4505612088663047,0,12.3125,0.25,0.16666666666666666,0.9672667757774142,0.019639934533551555,0.01309328968903437,1.885524696410915,22,0,0.3878887070376432,NA,NA,0,4.9375,0.3878887070376432,JORN
JORN_009,plot,2018,2018-04-14,18,0,1,2.4851295273666696,0,0,4.645833333333333,0,0.0625,0.9867256637168141,0,0.013274336283185842,2.5238039686424463,18,0.13716814159292037,0.584070796460177,NA,NA,0.6458333333333334,2.75,0.5707964601769911,JORN
JORN_009,plot,2018,2018-09-06,4,0,0,0.9502705392332345,0,0,NA,NA,NA,NA,NA,NA,0.9502705392332345,3,NA,NA,NA,NA,NA,NA,NA,JORN
JORN_009,plot,2019,2019-04-16,15,0,0,2.495098320353209,0,0,2.25,0,0,1,0,0,2.495098320353209,14,0.05555555555555555,0.3055555555555556,NA,NA,0.125,0.6875,0.3055555555555556,JORN
